'Name','Symbol','Group','Period','Atomic number','Atomic mass (u)','Electronegativity (Pauling)','Electronegativity (Allen)','Atomic radius (empirical)','Atomic radius (calculated)','Atomic radius (van der Waals)','Covalent radius’,'Electron configuration','Ground level','Ionization energy (eV)','CPK Color','CPK Color (RGB)','CPK Color (HEX)',,
'Hydrogen','H',1,1,1,'1.00797',2.2,2.3,25,53,120,	31,'1s','2S1/2',-13.598434599702,'white','[255,255,255]','FFFFFF'
'Helium','He',18,1,2,'4.00260','-',4.16,120,31,140,	28,'1s2','1S0',24.587389011,'cyan','[217,255,255]','D9FFFF'
'Lithium','Li',1,2,3,'6.941',0.98,0.912,145,167,182,	128,'1s22s','2S1/2',5.391714996,'violet','[204,128,255]','CC80FF'
'Beryllium','Be',2,2,4,'9.01218',1.57,1.576,105,112,153,	96,'1s22s2','1S0',9.322699,'darkgreen','[194,255,0]','C2FF00'
'Boron','B',13,2,5,'10.81',2.04,2.051,85,87,192,	84,'1s22s22p','2P°1/2',8.298019,'pink','[255,181,181]','FFB5B5'
'Carbon','C',14,2,6,'12.011',2.55,2.544,70,67,170,	76,'1s22s22p2','3P0',11.260288,'black','[144,144,144]','909090'
'Nitrogen','N',15,2,7,'14.0067',3.04,3.066,65,56,155,	71,'1s22s22p3','4S°3/2',14.53413,'blue','[48,80,248]','3050F8'
'Oxygen','O',16,2,8,'15.9994',3.44,3.61,60,48,152,	66,'1s22s22p4','3P2',13.618055,'red','[255,13,13]','FF0D0D'
'Fluorine','F',17,2,9,'18.998403',3.98,4.193,50,42,147,	57,'1s22s22p5','2P°3/2',17.42282,'green','[144,224,80]','90E050'
'Neon','Ne',18,2,10,'20.179','-',4.787,160,38,154,	58,'1s22s22p6','1S0',21.564541,'cyan','[179,227,245]','B3E3F5'
'Sodium','Na',1,3,11,'22.98977',0.93,0.869,180,190,227,	166,'[Ne]3s','2S1/2',5.13907696,'violet','[171,92,242]','AB5CF2'
'Magnesium','Mg',2,3,12,'24.305',1.31,1.293,150,145,173,	141,'[Ne]3s2','1S0',7.646236,'darkgreen','[138,255,0]','8AFF00'
'Aluminum','Al',13,3,13,'26.98154',1.61,1.613,125,118,184,	121,'[Ne]3s23p','2P°1/2',5.985769,'pink','[191,166,166]','BFA6A6'
'Silicon','Si',14,3,14,'28.0855',1.9,1.916,110,111,210,	111,'[Ne]3s23p2','3P0',8.15168,'pink','[240,200,160]','F0C8A0'
'Phosphorus','P',15,3,15,'30.97376',2.19,2.253,100,98,180,	107,'[Ne]3s23p3','4S°3/2',10.486686,'orange','[255,128,0]','FF8000'
'Sulfur','S',16,3,16,'32.06',2.58,2.589,100,88,180,	105,'[Ne]3s23p4','3P2',10.36001,'yellow','[255,255,48]','FFFF30'
'Chlorine','Cl',17,3,17,'35.453',3.16,2.869,100,79,175,	102,'[Ne]3s23p5','2P°3/2',12.967633,'green','[31,240,31]','1FF01F'
'Argon','Ar',18,3,18,'39.948','-',3.242,71,71,188,	106,'[Ne]3s23p6','1S0',15.7596119,'pink','[128,209,227]','80D1E3'
'Potassium','K',1,4,19,'39.0983',0.82,0.734,220,243,275,	203,'[Ar]4s','2S1/2',4.34066373,'violet','[143,64,212]','8F40D4'
'Calcium','Ca',2,4,20,'40.08',1,1.034,180,194,231,	176,'[Ar]4s2','1S0',6.11315547,'darkgreen','[61,255,0]','3DFF00'
'Scandium','Sc',3,4,21,'44.9559',1.36,1.19,160,184,211,	170,'[Ar]3d4s2','2D3/2',6.56149,'beige','[230,230,230]','E6E6E6'
'Titanium','Ti',4,4,22,'47.90',1.54,1.38,140,176,'-',	160,'[Ar]3d24s2','3F2',6.82812,'grey','[191,194,199]','BFC2C7'
'Vanadium','V',5,4,23,'50.9415',1.63,1.53,135,171,'-',	153,'[Ar]3d34s2','4F3/2',6.746187,'beige','[166,166,171]','A6A6AB'
'Chromium','Cr',6,4,24,'51.996',1.66,1.65,140,166,'-',	139,'[Ar]3d54s','7S3',6.76651,'beige','[138,153,199]','8A99C7'
'Manganese','Mn',7,4,25,'54.9380',1.55,1.75,140,161,'-',	150,'[Ar]3d54s2','6S5/2',7.434038,'beige','[156,122,199]','9C7AC7'
'Iron','Fe',8,4,26,'55.847',1.83,1.8,140,156,'-',	142,'[Ar]3d64s2','5D4',7.9024681,'darkorange','[224,102,51]','E06633'
'Cobalt','Co',9,4,27,'58.9332',1.88,1.84,135,152,'-',	138,'[Ar]3d74s2','4F9/2',7.88101,'beige','[240,144,160]','F090A0'
'Nickel','Ni',10,4,28,'58.70',1.91,1.88,135,149,163,	124,'[Ar]3d84s2','3F4',7.639878,'beige','[80,208,80]','50D050'
'Copper','Cu',11,4,29,'63.546',1.9,1.85,135,145,140,	132,'[Ar]3d104s','2S1/2',7.72638,'beige','[200,128,51]','C88033'
'Zinc','Zn',12,4,30,'65.38',1.65,1.588,135,142,139,	122,'[Ar]3d104s2','1S0',9.394197,'beige','[125,128,176]','7D80B0'
'Gallium','Ga',13,4,31,'69.72',1.81,1.756,130,136,187,	122,'[Ar]3d104s24p','2P°1/2',5.999302,'pink','[194,143,143]','C28F8F'
'Germanium','Ge',14,4,32,'72.59',2.01,1.994,125,125,211,	120,'[Ar]3d104s24p2','3P0',7.899435,'pink','[102,143,143]','668F8F'
'Arsenic','As',15,4,33,'74.9216',2.18,2.211,115,114,185,	119,'[Ar]3d104s24p3','4S°3/2',9.78855,'pink','[189,128,227]','BD80E3'
'Selenium','Se',16,4,34,'78.96',2.55,2.424,115,103,190,	120,'[Ar]3d104s24p4','3P2',9.752392,'pink','[255,161,0]','FFA100'
'Bromine','Br',17,4,35,'79.904',2.96,2.685,115,94,185,	120,'[Ar]3d104s24p5','2P°3/2',11.81381,'pink','[166,41,41]','A62929'
'Krypton','Kr',18,4,36,'83.80',3,2.966,'-',88,202,	116,'[Ar]3d104s24p6','1S0',13.9996055,'darkred','[92,184,209]','5CB8D1'
'Rubidium','Rb',1,5,37,'85.4678',0.82,0.706,235,265,303,	220,'[Kr]5s','2S1/2',4.1771281,'violet','[112,46,176]','702EB0'
'Strontium','Sr',2,5,38,'87.62',0.95,0.963,200,219,249,	195,'[Kr]5s2','1S0',5.69486745,'darkgreen','[0,255,0]','00FF00'
'Yttrium','Y',3,5,39,'88.9059',1.22,1.12,180,212,'-',	190,'[Kr]4d5s2','2D3/2',6.21726,'beige','[148,255,255]','94FFFF'
'Zirconium','Zr',4,5,40,'91.22',1.33,1.32,155,206,'-',	175,'[Kr]4d25s2','3F2',6.634126,'beige','[148,224,224]','94E0E0'
'Niobium','Nb',5,5,41,'92.9064',1.6,1.41,145,198,'-',	164,'[Kr]4d45s','6D1/2',6.75885,'beige','[115,194,201]','73C2C9'
'Molybdenum','Mo',6,5,42,'95.94',2.16,1.47,145,190,'-',	154,'[Kr]4d55s','7S3',7.09243,'beige','[84,181,181]','54B5B5'
'Technetium','Tc',7,5,43,'(98)',1.9,1.51,135,183,'-',	147,'[Kr]4d55s2','6S5/2',7.11938,'beige','[59,158,158]','3B9E9E'
'Ruthenium','Ru',8,5,44,'101.07',2.2,1.54,130,178,'-',	146,'[Kr]4d75s','5F5',7.3605,'beige','[36,143,143]','248F8F'
'Rhodium','Rh',9,5,45,'102.9055',2.28,1.56,135,173,'-',	142,'[Kr]4d85s','4F9/2',7.4589,'beige','[10,125,140]','0A7D8C'
'Palladium','Pd',10,5,46,'106.4',2.2,1.58,140,169,163,	139,'[Kr]4d10','1S0',8.336839,'beige','[0,105,133]','006985'
'Silver','Ag',11,5,47,'107.868',1.93,1.87,160,165,172,	145,'[Kr]4d105s','2S1/2',7.576234,'beige','[192,192,192]','C0C0C0'
'Cadmium','Cd',12,5,48,'112.41',1.69,1.521,155,161,158,	144,'[Kr]4d105s2','1S0',8.99382,'beige','[255,217,143]','FFD98F'
'Indium','In',13,5,49,'114.82',1.78,1.656,155,156,193,	142,'[Cd]5p','2P°1/2',5.7863558,'pink','[166,117,115]','A67573'
'Tin','Sn',14,5,50,'118.69',1.96,1.824,145,145,217,	139,'[Cd]5p2','3P0',7.343918,'pink','[102,128,128]','668080'
'Antimony','Sb',15,5,51,'121.75',2.05,1.984,145,133,206,	139,'[Cd]5p3','4S°3/2',8.608389,'pink','[158,99,181]','9E63B5'
'Tellurium','Te',16,5,52,'127.60',2.1,2.158,140,123,206,	138,'[Cd]5p4','3P2',9.009808,'pink','[212,122,0]','D47A00'
'Iodine','I',17,5,53,'126.9045',2.66,2.359,140,115,198,	139,'[Cd]5p5','2P°3/2',10.45126,'darkviolet','[148,0,148]','940094'
'Xenon','Xe',18,5,54,'131.30',2.6,2.582,'-',108,216,	140,'[Cd]5p6','1S0',12.1298437,'pink','[66,158,176]','429EB0'
'Cesium','Cs',1,6,55,'132.9054',0.79,0.659,265,298,343,	244,'[Xe]6s','2S1/2',3.89390572743,'violet','[87,23,143]','57178F'
'Barium','Ba',2,6,56,'137.33',0.89,0.881,215,253,268,	215,'[Xe]6s2','1S0',5.2116646,'darkgreen','[0,201,0]','00C900'
'Lanthanum','La','n/a',6,57,'138.9055',1.1,1.09,195,226,'-',	207,'[Xe]5d6s2','2D3/2',5.5769,'beige','[112,212,255]','70D4FF'
'Cerium','Ce','n/a',6,58,'140.12',1.12,1.16,185,210,'-',	204,'[Xe]4f5d6s2','1G°4',5.5386,'beige','[255,255,199]','FFFFC7'
'Praseodymium','Pr','n/a',6,59,'140.9077',1.13,1.34,185,247,'-',	203,'[Xe]4f36s2','4I°9/2',5.4702,'beige','[217,255,199]','D9FFC7'
'Neodymium','Nd','n/a',6,60,'144.24',1.14,1.47,185,206,'-',	201,'[Xe]4f46s2','5I4',5.525,'beige','[199,255,199]','C7FFC7'
'Promethium','Pm','n/a',6,61,'(145)',1.13,1.6,185,205,'-',	199,'[Xe]4f56s2','6H°5/2',5.58187,'beige','[163,255,199]','A3FFC7'
'Samarium','Sm','n/a',6,62,'150.4',1.17,1.65,185,238,'-',	198,'[Xe]4f66s2','7F0',5.643722,'beige','[143,255,199]','8FFFC7'
'Europium','Eu','n/a',6,63,'151.96',1.2,1.68,185,231,'-',	198,'[Xe]4f76s2','8S°7/2',5.670385,'beige','[97,255,199]','61FFC7'
'Gadolinium','Gd','n/a',6,64,'157.25',1.2,1.72,180,233,'-',	196,'[Xe]4f75d6s2','9D°2',6.1498,'beige','[69,255,199]','45FFC7'
'Terbium','Tb','n/a',6,65,'158.9254',1.22,1.92,175,225,'-',	194,'[Xe]4f96s2','6H°15/2',5.8638,'beige','[48,255,199]','30FFC7'
'Dysprosium','Dy','n/a',6,66,'162.50',1.23,1.765,175,228,'-',	192,'[Xe]4f106s2','5I8',5.93905,'beige','[31,255,199]','1FFFC7'
'Holmium','Ho','n/a',6,67,'164.9304',1.24,1.789,175,226,'-',	192,'[Xe]4f116s2','4I°15/2',6.0215,'beige','[0,255,156]','00FF9C'
'Erbium','Er','n/a',6,68,'167.26',1.24,1.854,175,226,'-',	189,'[Xe]4f126s2','3H6',6.1077,'beige','[0,230,117]','00E675'
'Thulium','Tm','n/a',6,69,'168.9342',1.25,2.01,175,222,'-',	190,'[Xe]4f136s2','2F°7/2',6.18431,'beige','[0,212,82]','00D452'
'Ytterbium','Yb','n/a',6,70,'173.04',1.1,2.19,175,222,'-',	187,'[Xe]4f146s2','1S0',6.25416,'beige','[0,191,56]','00BF38'
'Lutetium','Lu',3,6,71,'174.967',1.27,2.39,175,217,'-',	187,'[Xe]4f145d6s2','2D3/2',5.425871,'beige','[0,171,36]','00AB24'
'Hafnium','Hf',4,6,72,'178.49',1.3,2.6,155,208,'-',	175,'[Xe]4f145d26s2','3F2',6.82507,'beige','[77,194,255]','4DC2FF'
'Tantalum','Ta',5,6,73,'180.9479',1.5,0.67,145,200,'-',	170,'[Xe]4f145d36s2','4F3/2',7.549571,'beige','[77,166,255]','4DA6FF'
'Tungsten','W',6,6,74,'183.85',2.36,0.89,135,193,'-',	162,'[Xe]4f145d46s2','5D0',7.86403,'beige','[33,148,214]','2194D6'
'Rhenium','Re',7,6,75,'186.207',1.9,'-',135,188,'-',	151,'[Xe]4f145d56s2','6S5/2',7.83352,'beige','[38,125,171]','267DAB'
'Osmium','Os',8,6,76,'190.2',2.2,'-',130,185,'-',	144,'[Xe]4f145d66s2','5D4',8.43823,'beige','[38,102,150]','266696'
'Iridium','Ir',9,6,77,'192.22',2.2,'-',135,180,'-',	141,'[Xe]4f145d76s2','4F9/2',8.96702,'beige','[23,84,135]','175487'
'Platinum','Pt',10,6,78,'195.09',2.28,'-',135,177,175,	136,'[Xe]4f145d96s','3D3',8.95883,'beige','[208,208,224]','D0D0E0'
'Gold','Au',11,6,79,'196.9665',2.54,'-',135,174,166,	136,'[Xe]4f145d106s','2S1/2',9.225554,'beige','[255,209,35]','FFD123'
'Mercury','Hg',12,6,80,'200.59',2,'-',150,171,155,	132,'[Xe]4f145d106s2','1S0',10.437504,'beige','[184,184,208]','B8B8D0'
'Thallium','Tl',13,6,81,'204.37',1.62,'-',190,156,196,	145,'[Hg]6p','2P°1/2',6.1082873,'pink','[166,84,77]','A6544D'
'Lead','Pb',14,6,82,'207.2',2.33,'-',180,154,202,	146,'[Hg]6p2','(1/21/2)0',7.4166799,'pink','[87,89,97]','575961'
'Bismuth','Bi',15,6,83,'208.9804',2.02,'-',160,143,207,	148,'[Hg]6p3','4S°3/2',7.285516,'pink','[158,79,181]','9E4FB5'
'Polonium','Po',16,6,84,'(209)',2,'-',190,135,197,	140,'[Hg]6p4','3P2',8.41807,'pink','[171,92,0]','AB5C00'
'Astatine','At',17,6,85,'(210)',2.2,'-','-',127,202,	150,'[Hg]6p5','2P°3/2',9.31751,'pink','[117,79,69]','754F45'
'Radon','Rn',18,6,86,'(222)','-','-','-',120,220,	150,'[Hg]6p6','1S0',10.7485,'pink','[66,130,150]','428296'
'Francium','Fr',1,7,87,'(223)',0.7,'-','-','-',348,	260,'[Rn]7s','2S1/2',4.0727411,'violet','[66,0,102]','420066'
'Radium','Ra',2,7,88,'226.0254',0.89,'-',215,'-',283,	221,'[Rn]7s2','1S0',5.2784239,'darkgreen','[0,125,0]','007D00'
'Actinium','Ac','n/a',7,89,'227.0278',1.1,'-',195,'-','-',	215,'[Rn]6d7s2','2D3/2',5.380226,'beige','[112,171,250]','70ABFA'
'Thorium','Th','n/a',7,90,'232.0381',1.3,'-',180,'-','-',	206,'[Rn]6d27s2','3F2',6.3067,'beige','[0,186,255]','00BAFF'
'Protactinium','Pa','n/a',7,91,'231.0359',1.5,'-',180,'-','-',	200,'[Rn]5f26d7s2','4K11/2',5.89,'beige','[0,161,255]','00A1FF'
'Uranium','U','n/a',7,92,'238.029',1.38,'-',175,'-',186,	196,'[Rn]5f36d7s2','5L°6',6.19405,'beige','[0,143,255]','008FFF'
'Neptunium','Np','n/a',7,93,'237.0482',1.36,'-',175,'-','-',	190,'[Rn]5f46d7s2','6L11/2',6.26554,'beige','[0,128,255]','0080FF'
'Plutonium','Pu','n/a',7,94,'(242)',1.28,'-',175,'-','-',	187,'[Rn]5f67s2','7F0',6.02576,'beige','[0,107,255]','006BFF'
'Americium','Am','n/a',7,95,'(243)',1.3,'-',175,'-','-',	180,'[Rn]5f77s2','8S°7/2',5.97381,'beige','[84,92,242]','545CF2'
'Curium','Cm','n/a',7,96,'(247)',1.3,'-',176,'-','-',	169,'[Rn]5f76d7s2','9D°2',5.99141,'beige','[120,92,227]','785CE3'
'Berkelium','Bk','n/a',7,97,'(247)',1.3,'-','-','-','-','-','[Rn]5f97s2','6H°15/2',6.19785,'beige','[138,79,227]','8A4FE3'
'Californium','Cf','n/a',7,98,'(251)',1.3,'-','-','-','-','-','[Rn]5f107s2','5I8',6.28166,'beige','[161,54,212]','A136D4'
'Einsteinium','Es','n/a',7,99,'(252)',1.3,'-','-','-','-','-','[Rn]5f117s2','4I°15/2',6.36758,'beige','[179,31,212]','B31FD4'
'Fermium','Fm','n/a',7,100,'(257)',1.3,'-','-','-','-','-','[Rn]5f127s2','3H6',6.5,'beige','[179,31,186]','B31FBA'
'Mendelevium','Md','n/a',7,101,'(258)',1.3,'-','-','-','-','-','[Rn]5f137s2','2F°7/2',6.58,'beige','[179,13,166]','B30DA6'
' Nobelium','-','n/a',7,102,'(250)',1.3,'-','-','-','-','-','[Rn]5f147s2','1S0',6.62621,'beige','[189,13,135]','BD0D87'
'Lawrencium','Lr',3,7,103,'(260)','-','-','-','-','-','-','[Rn]5f147s27p','2P°1/2',4.96,'beige','[199,0,102]','C70066'
'Rutherfordium','Rf',4,7,104,'(261)','-','-','-','-','-','-','[Rn]5f146d27s2','3F2',-6.02,'beige','[204,0,89]','CC0059'
'Dubnium','Db',5,7,105,'(262)','-','-','-','-','-','-','[Rn]5f146d37s2','4F3/2',-6.8,'beige','[209,0,79]','D1004F'
'Seaborgium','Sg',6,7,106,'(263)','-','-','-','-','-','-','[Rn]5f146d47s2',0,7.8,'beige','[217,0,69]','D90045'
'Bohrium','Bh',7,7,107,'(262)','-','-','-','-','-','-','[Rn]5f146d57s2',05/02/21,7.7,'beige','[224,0,56]','E00038'
